name|university
Erik Blasch|Yale University
Kaiping Xu|Xiamen University
Benjamin Piwowarski|University of East Anglia
Raimundas Matulevicius|Florida State University
Ofer M. Shir|Colorado School of Mines
D. Russell Luke|Yokohama National University
Alexander Ziegler|University of Hamburg
Jürgen Rauschenbach|University of Colorado Boulder
Patrick J. Lardieri|RWTH Aachen University
Weiyi Meng|Indian Institute of Technology Delhi
Weiping Qu|University of Seville
Nikos Mamoulis|Delft University of Technology
Michal Wozniak 0001|University of Illinois at Chicago
Arash Gharehbaghi|Juntendo University
Konstantinos E. Parsopoulos|University of Arkansas for Medical Sciences
Ludovic Mé|University of Maryland Baltimore
Palaiahnakote Shivakumara|University of Washington   Seattle
Rein Nõukas|Gyeongsang National University
Brian McFee|Polytechnic University of Catalonia
Nikolay Gil|University of Groningen
Stephen Blott|Thomas Jefferson University
Mohamed Gharzouli|University of Pavia
Giorgio Terracina|University of Duisburg Essen
Carlo Batini|University of Alberta
Stefano Rizzi|Rockefeller University
Chitta Baral|Yokohama City University
Stefano Mariani 0001|Bielefeld University
S. Tucker Taft|Pierre and Marie Curie University
Andreas P. Schmidt|Cardiff University
Joseph Albert|Niigata University
Enrico Ferro|Kumamoto University
Madeleine El-Zaher|University of North Carolina at Chapel Hill
Huiping Cao|Tel Aviv University
Brigitte Delemer|Baylor University
Martijn C. Willemsen|Texas Tech University (TTU)
Ioana Manolescu|Dalian University of Technology
Décio Fonseca|London School of Economics
Mohammad Arif Ul Alam|Aix Marseille University
Quentin Monnet|Juntendo University
Ricardo Aceves|Louisiana State University   Baton Rouge
Irene Celino|Free University of Berlin
Pradeep K. Atrey|Ruhr University Bochum
Chung-Chih Hung|University of Twente
Tatiana Paz Flanagan|Vienna University of Technology
Xiwei Xu|Aix Marseille University
Jari Porras|University of Akron
Helena Mitásová|University of Glasgow
David Novak|Laval University
Julien Maitre|Tohoku University
Eugene Roventa|Zhejiang University
Max Gath|Brandeis University
Magdalena Balazinska|École Polytechnique
Manzoor Ahmad|University of St Andrews
Ke Chen 0001|Chinese University of Hong Kong
Georg Jahn|Wayne State University
John A. Zinky|Waseda University
Jean Véronis|University of Delhi
Samee U. Khan|University of Porto
Oscar Castillo 0001|University of Nottingham
Franco Arcieri|Polytechnic University of Milan
Rudolf Ahlswede|University of Erlangen Nuremberg
Leszek A. Maciaszek|Pierre and Marie Curie University
Panagiotis G. Ipeirotis|University of Porto
Pavel Zezula|Vita Salute San Raffaele University
David Alan Grier|Royal Institute of Technology
Dan Chen 0001|Dalhousie University
Jef Wijsen|Scuola Normale Superiore di Pisa
Fernanda Araujo Baião|Swedish University of Agricultural Sciences
Vassilis Christophides|University of Georgia
Rose Sturm|Technion – Israel Institute of Technology
Pascal Urso|University of Arizona
Radu Sion|Aarhus University
Loïc Hélouët|Virginia Commonwealth University
Curtis E. Dyreson|University of Arkansas   Fayetteville
Roberta De Michele|Tulane University
Aldo Gangemi|University of Turku
Francesco Poggi|University of Paris Sud
Thomas Thüm|École normale supérieure de Lyon
Julia Steube|Hokkaido University
Helmuth Partsch|University of Bologna
Hasan M. Jamil|King's College London
Victor R. Basili|National and Kapodistrian University of Athens
Piercarlo Maggiolini|Tokyo Institute of Technology
Bo Liu 0001|Georgetown University
Bacem Mbarek|University of Sydney
Volker Sadowsky|University of Lorraine
Radoslaw Adamus|Delft University of Technology
Maria Agostiano|Stony Brook University
Fosca Giannotti|Queen's University Belfast
Mourad Boudhar|University of Nevada Reno
Abderrahim Chariete|Boston University
Mariano Leva|University of South Florida   Tampa
Mayssa Jemel|University of Chicago
Todd Kelsey|University of Reading
Didier Donsez|University at Buffalo The State University of New York
Job Zwiers|Scuola Normale Superiore di Pisa
Helinä Melkas|Jilin University
Benyu Zhang|Medical College of Wisconsin
Peter Hahn|California Institute of Technology
Stefano Giordano|University of Tampere
Pere Ridao|Concordia University
George A. Papadopoulos|Southern Methodist University
Fevzi Belli|University of Pennsylvania
Charles Mbohwa|University of Otago
Andrés Farías|Aalto University
Moshe Chai Barukh|Kyungpook National University
Georgios N. Yannakakis|Baylor College of Medicine
Hui Ma 0001|Uppsala University
Nigel Bevan|University of Amsterdam
Giulio Marin|Jagiellonian University
Dorra El Mekki|University of Düsseldorf
Bertrand Grégoire|University of California Santa Cruz
Wolfram Wingerath|Swiss Federal Institute of Technology in Lausanne
Rima Kilany|University of Delhi
Erik de Britto e Silva|University of Alberta
Christopher Kormanyos|University of Malaya
Jan Sbresny|Bielefeld University
Peng Ning|Monash University
Jens Heidrich|Brown University
Carlo Ferrari|Drexel University
Georgia Koloniari|University of California Riverside
Pierre Réty|Northwestern University
Nestor D. Tomycz|University of Antwerp
Manuel Caeiro|Pierre and Marie Curie University
Thomas Bauer 0001|Utrecht University
Dawei Mai|Eötvös Loránd University
Tetsuya Sakai|University of Chile
Andrea Michienzi|Juntendo University
Biswajit Biswas|University of Bologna
Selma Boumerdassi|Claude Bernard University Lyon 1
Philippe Raipin Parvédy|Sungkyunkwan University
Giambattista Amati|University of Rostock
Dan Suciu|Lomonosov Moscow State University
Sarbari Mitra|Ajou University
Solange Oliveira Rezende|University of Lausanne
Karl Schlechta|McGill University
Borut Robic|New Mexico State University
Carsten Bange|Rensselaer Polytechnic Institute
Arpita Bhargava|University of Strasbourg
Bernd J. Krämer|Vanderbilt University
Andrea De Lorenzo|University of Arkansas   Fayetteville
Jean-Paul Auray|Ajou University
Vincent Englebert|Hiroshima University
Dominik Kalisch|École normale supérieure   Paris
Zia Uddin|University of Bari Aldo Moro
Sebastian Göndör|École normale supérieure de Lyon
Christel Vrain|University of Glasgow
Opher Etzion|University of Amsterdam
David Buttler|University of Science Malaysia
Akrivi Kiousi|Yeshiva University
James McDermott|Kyungpook National University
Jacek Plodzien|Technical University of Munich
Teik-Toe Teoh|Arizona State University
Alan Burns 0001|University of Campinas
Gereon Schüller|University of Hull
Jérémy Wrobel|University of Rome Tor Vergata
Jamuna Kanta Sing|Colorado State University   Fort Collins
Jiapeng Liu|Chulalongkorn University
Veronica Bartolucci|Kansas State University
Jeong-Hyon Hwang|Pennsylvania State University University Park
Fatma Krichen|North Carolina State University
Arantza Illarramendi|University of Oklahoma   Norman Campus
Franco Callegati|Columbia University
Mark Birbeck|University of Turin
Christine Louberry|University of Trieste
Harald Sack|University of Bath
Françoise Baude|Durham University
Veronica Oliveira de Carvalho|University of California San Francisco
Randall Brukardt|Tufts University
Harald B. Karcher|Leiden University
Maarten van Banerveld|University of Bergen
Khushi Gupta|University College Cork
Egon Börger|University of Dundee
Jeffrey Xu Yu|Catholic University of the Sacred Heart
Chryssis Georgiou|Paris Diderot University   Paris 7
Wen-Syan Li|Oklahoma State University–Stillwater
Ping Li 0001|Emory University
Jason T. Reed|University of Kentucky
Michael A. Lones|Texas A&M University College Station
Petr D. Andriushchenko|Ewha Womans University
Quanyan Zhu|University of Texas Health Science Center at San Antonio
Hua Wang 0002|University of Hong Kong
Quach Vinh Thanh|Niigata University
Timothy Mastroianni|Durham University
Anthony J. Bagnall|University of Padua
Nikos A. Lorentzos|University of Milan
Enrico Cicalò|Free University of Berlin
Abdulbaki Aydin|University College Dublin
Alberto Isidori|Mines ParisTech
Christian Maurer|Purdue University West Lafayette
Ivan Chorbev|University of Trieste
Bernd Krieg-Brückner|Virginia Polytechnic Institute and State University
Andry Rakotonirainy|Chonnam National University
Xunfei Jiang|University of Münster
Dorin Comaniciu|University of British Columbia
Hamza Dahmouni|Oregon Health & Science University
Craig Macdonald|Pennsylvania State University University Park
Gianvito Summa|Johns Hopkins University
Ajit Singh|Newcastle University
Anant V. Nimkar|University of Lisbon
Dmitry Bogdanov|Tulane University
Jinho Kim|École Polytechnique
Babar Zahoor|University of Massachusetts Medical School
Quy Tran Vu|Queen's University Belfast
Jean François Santucci|Eötvös Loránd University
Marc Manzano|City University of Hong Kong
Manuel Castro|University of Kentucky
Yihong Wang|University of Auckland
Paolo Avesani|University of St Andrews
Amarnath Gupta|University of Oregon
José Maria Alonso|Florida State University
Abderrahim Lakehal|University of Tampere
Hafedh Mili|Joseph Fourier University
Michel Bidoit|Loyola University Chicago
John Hunt|Johns Hopkins University
Prajna Kunche|University of Louisville
Fernando Chirigati|Technical University of Berlin
Kevin Rooney|Ruprecht Karl University of Heidelberg
Reinhard Gotzhein|Polytechnic University of Catalonia
Sidney Tsang|Dalian University of Technology
Doris Jung|École normale supérieure   Paris
Nicolas Gouvy|University of Pisa
Shivashankar Gurumurthy|Osaka City University
Adas Gelzinis|University of California Davis
Andrzej Cichocki|Polytechnic University of Catalonia
Gianluca Picco|Ben Gurion University of the Negev
Diogo R. Ferreira|University of Texas MD Anderson Cancer Center
Nicolas Marilleau|Technical University of Madrid
Anton V. Ushakov|University of Geneva
Paul E. Smaldino|Newcastle University
Halit Oguztüzün|University of Rochester
Alexander Meduna|College of William and Mary
Nguyen Ngoc Hai|Brunel University
Thierry Grison|Hokkaido University
Armin Gerl|University of East Anglia
Jean-Marc Hick|Charles University in Prague
Pierangela Samarati|Georgetown University
Olivier Le Meur|Sogang University
Spyros Sioutas|University of Liège
Nigel Shadbolt|Rensselaer Polytechnic Institute
Samia Kouki|University of Nevada Reno
Zbigniew Zielinski|Swiss Federal Institute of Technology in Zurich
Jean-Pierre Archambault|University of South Carolina   Columbia
Sabrina Recla|Iowa State University
Gérard Memmi|University College Cork
Usman Qamar|North Carolina State University
B. V. Senthil Kumar|University of Liège
Zaia Alimazighi|Columbia University
Scott Kerr|Eindhoven University of Technology
Matthias Weidlich|Complutense University of Madrid
Marco de Marco|Hiroshima University
Dino Di Carlo|Grenoble Institute of Technology
Mishal Thapa|Aalto University
Javier E. Meseguer|University of Tsukuba
Didier Raoult|Swedish University of Agricultural Sciences
Barbara Kaltenbacher|University of Waterloo
Eusebi Calle|Wayne State University
Anne-Sophie Rigaud|Yonsei University
Jun Wei 0001|Kumamoto University
Mathias Weske|Icahn School of Medicine at Mount Sinai
Ali A. Minai|Rockefeller University
Irini Fundulaki|University of Liverpool
Xiangzhi Liu|Yokohama National University
Alexander Hinneburg|Medical University of Vienna
Andres Calvachi|Brown University
Richard K. Cheng|Yonsei University
Andrzej Szepietowski|Shinshu University
Shahram Ghandeharizadeh|Linköping University
Jiawei Han 0001|University of Victoria
Sean Bechhofer|University of Queensland
Radia Lessak|University of Rostock
Maurizio Talamo|Duke University
Anna V. Kalyuzhnaya|University of Cambridge
Sebastián Ventura|University of California Davis
Federico Altieri|Royal Institute of Technology
Jose P. Alcazar|Australian National University
Gunter Schlageter|Claude Bernard University Lyon 1
Renan Delvalle|University of Perugia
Badr Hirchoua|University of Surrey
Carlo Marchetti|University of Nebraska–Lincoln
Norbert Podhorszki|Simon Fraser University
Eike Schallehn|Indian Institute of Technology Delhi
Shoujian Yu|University of Barcelona
Marc Ehrig|Albert Ludwig University of Freiburg
Hai He|University of Western Australia
Gexiang Zhang|Charles University in Prague
Ulf Leser|Eindhoven University of Technology
Shanfeng Wang|University of Texas at Austin
Serge Halimi|Stockholm University
Edoardo Micheloni|University of Perugia
Mohamed Khaladi|University of Oxford
Artem Korobenko|University of Texas at Dallas
Marco Mamei|Ruhr University Bochum
Silvio Ranise|University of Tübingen
Eric Goubault|University of Düsseldorf
Shapour Azarm|University of Michigan Ann Arbor
Sriram Padmanabhan|Bielefeld University
R. Kakehi|Seoul National University
James A. Hendler|Harbin Institute of Technology
Antonella Valva|University of Innsbruck
Faisal Moeen Orakzai|University of Lisbon
George C. Oikonomou|University of Miami
Frank Nack|Yeshiva University
Aline Baggio|University of Colorado Boulder
